ClientID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,engagement_score,TermDepositSubscribed,ResponsePropensity
CIF000063,40,blue-collar,single,primary,no,4636.6,no,no,cellular,14,oct,1645,5,-1,5,failure,0.529,1,0.2875
CIF000064,77,student,married,unknown,no,5062.9,no,yes,telephone,15,jan,737,2,13,4,other,0.4521,1,0.6119
CIF000065,43,student,divorced,tertiary,no,2108.33,no,yes,unknown,16,oct,1172,6,16,3,other,0.9316,1,0.3638
CIF000066,38,entrepreneur,divorced,unknown,no,-1.08,yes,no,unknown,21,feb,327,5,-1,5,other,0.199,1,0.1542
CIF000067,74,blue-collar,married,primary,no,2955.48,no,no,unknown,22,dec,257,6,-1,2,failure,0.1797,1,0.6494
CIF000068,40,entrepreneur,married,primary,no,-83.75,no,yes,unknown,14,mar,1316,7,-1,2,unknown,0.7487,1,0.7601
CIF000069,22,management,divorced,primary,yes,1495.82,no,yes,unknown,11,oct,118,7,-1,0,success,0.7257,0,0.7747
CIF000070,47,entrepreneur,single,tertiary,no,4458.41,no,no,telephone,2,aug,807,2,13,4,unknown,0.6992,1,0.1492
CIF000071,67,retired,divorced,primary,no,-173.31,yes,no,unknown,24,may,570,6,-1,0,success,0.0261,1,0.5126
CIF000072,29,student,divorced,tertiary,no,3917.04,no,yes,telephone,7,nov,29,3,-1,3,failure,0.26,0,0.0239
CIF000073,46,entrepreneur,divorced,unknown,no,3532.2,yes,no,unknown,14,may,956,3,-1,4,failure,0.8399,1,0.0902
CIF000074,26,admin.,married,primary,no,-1364.38,no,no,unknown,30,jan,1735,5,-1,1,unknown,0.6009,1,0.0811
CIF000075,60,admin.,single,tertiary,no,4421.68,no,no,cellular,24,jan,124,5,14,3,other,0.6022,1,0.0572
CIF000076,47,student,single,tertiary,yes,3595.7,no,no,unknown,11,nov,1468,3,-1,1,success,0.2959,1,0.3338
CIF000077,38,entrepreneur,divorced,unknown,no,1805.78,no,no,unknown,15,may,970,7,-1,2,failure,0.2602,1,0.3577
CIF000078,32,blue-collar,married,primary,no,-786.97,no,no,unknown,10,oct,1302,2,6,3,success,0.9466,1,0.6979
CIF000079,52,management,married,primary,no,-1077.62,no,no,unknown,19,jan,173,1,23,1,other,0.7278,1,0.3299
CIF000080,59,student,single,primary,no,-112.99,yes,no,cellular,5,jan,1564,1,-1,4,success,0.1269,0,0.1404
CIF000081,76,entrepreneur,divorced,tertiary,no,3127.78,yes,no,cellular,29,dec,20,6,22,2,other,0.9377,1,0.9469
CIF000082,45,blue-collar,divorced,unknown,no,-1366.88,no,no,cellular,30,feb,1632,3,-1,2,failure,0.5824,1,0.8755
CIF000083,27,student,single,primary,no,2812.54,no,no,telephone,9,sep,1184,4,7,4,failure,0.3334,0,0.1242
CIF000084,69,admin.,single,secondary,no,-2000.0,no,yes,telephone,7,may,607,5,-1,1,other,0.3971,1,0.3628
CIF000085,57,student,married,tertiary,no,887.79,yes,no,telephone,17,jul,12,4,-1,2,success,0.7254,1,0.1681
CIF000086,61,management,divorced,unknown,no,1828.94,no,no,unknown,20,feb,1099,5,-1,5,success,0.3763,1,0.9591
CIF000087,24,admin.,married,unknown,no,8835.39,no,no,unknown,20,apr,157,1,-1,2,success,0.5787,0,0.356
CIF000088,37,blue-collar,married,tertiary,no,-2000.0,no,no,cellular,2,oct,1095,2,-1,0,other,0.7105,1,0.0981
CIF000089,65,retired,single,unknown,no,5916.04,yes,yes,unknown,22,jul,1391,7,-1,1,success,0.1954,1,0.7268
CIF000090,69,retired,single,unknown,no,1949.53,no,no,telephone,2,jul,481,4,-1,5,other,0.9442,1,0.7117
CIF000091,44,blue-collar,single,unknown,no,2733.52,yes,yes,unknown,11,dec,429,2,-1,4,unknown,0.3562,1,0.241
CIF000092,67,management,divorced,secondary,no,1855.04,no,no,telephone,22,may,399,3,-1,4,success,0.4194,1,0.3215
CIF000093,70,student,married,secondary,no,2834.18,no,no,telephone,27,oct,404,3,-1,1,failure,0.6985,1,0.415
CIF000094,42,retired,divorced,secondary,no,1038.94,yes,no,cellular,20,sep,205,2,21,5,unknown,0.6088,1,0.2677
CIF000095,73,retired,married,unknown,no,5862.15,no,no,cellular,5,jun,449,3,27,2,failure,0.4401,1,0.2889
CIF000096,35,blue-collar,married,secondary,no,130.59,yes,yes,unknown,21,apr,1186,6,-1,4,other,0.6497,1,0.8016
CIF000097,32,management,married,unknown,yes,4896.7,no,no,cellular,2,may,544,1,-1,5,other,0.9028,1,0.7519
CIF000098,60,retired,divorced,tertiary,no,-433.1,yes,yes,cellular,7,nov,1405,3,-1,1,failure,0.8003,1,0.6926
CIF000099,57,admin.,divorced,primary,no,1319.24,no,no,cellular,4,apr,1474,4,-1,5,unknown,0.8243,1,0.6868
CIF000100,26,blue-collar,divorced,secondary,no,-1715.89,yes,no,unknown,30,aug,1369,4,17,3,failure,0.2584,0,0.5219
CIF000101,69,student,married,primary,no,2865.07,yes,yes,telephone,12,feb,971,7,-1,4,failure,0.4194,1,0.3509
CIF000102,30,student,divorced,tertiary,no,5835.38,yes,no,telephone,17,may,569,7,-1,4,failure,0.5538,1,0.7205
CIF000103,67,blue-collar,married,secondary,yes,1267.93,no,no,telephone,24,dec,1673,3,-1,1,other,0.0442,1,0.1164
CIF000104,18,retired,single,secondary,no,909.34,no,no,telephone,30,jul,369,4,-1,4,failure,0.7698,1,0.1411
CIF000105,67,management,divorced,primary,no,-1843.85,yes,no,telephone,30,oct,836,1,14,1,unknown,0.3235,1,0.1263
CIF000106,66,management,married,primary,no,812.12,no,yes,telephone,5,apr,816,5,-1,1,unknown,0.2826,1,0.7327
CIF000107,66,management,married,unknown,no,-2000.0,no,no,cellular,12,oct,1342,2,-1,0,success,0.2593,1,0.5915
CIF000108,59,student,married,unknown,no,-1238.63,yes,no,cellular,13,dec,984,1,-1,1,unknown,0.2834,0,0.4502
CIF000109,47,entrepreneur,divorced,secondary,no,2180.36,no,no,unknown,24,dec,1439,5,23,5,unknown,0.338,1,0.4762
CIF000110,61,management,single,unknown,no,5457.04,no,no,telephone,11,jun,1654,2,-1,1,other,0.6048,1,0.8276
CIF000111,35,retired,married,tertiary,no,9927.63,yes,yes,unknown,7,sep,703,4,14,2,unknown,0.5836,1,0.1217
CIF000112,66,management,single,secondary,no,-259.76,no,no,unknown,23,nov,1574,1,19,2,success,0.2557,1,0.3832
CIF000113,52,student,divorced,secondary,no,5805.9,yes,no,unknown,15,oct,305,6,-1,4,unknown,0.2064,1,0.7602
CIF000114,46,blue-collar,married,tertiary,no,2231.26,yes,no,telephone,23,dec,1648,6,19,3,other,0.8264,1,0.6578
CIF000115,49,student,single,unknown,no,1046.26,no,no,unknown,12,jan,320,5,-1,3,success,0.0927,1,0.4351
CIF000116,53,retired,married,secondary,no,2797.78,no,yes,cellular,15,jul,1530,6,-1,5,other,0.5128,1,0.2243
CIF000117,20,student,married,secondary,no,1685.75,yes,no,telephone,1,oct,702,4,-1,2,success,0.5206,1,0.9464
CIF000118,26,entrepreneur,single,unknown,no,1831.19,no,no,unknown,1,sep,1736,2,-1,4,failure,0.5741,1,0.4079
CIF000119,33,entrepreneur,single,tertiary,no,275.0,no,no,cellular,1,feb,232,2,-1,5,other,0.8857,1,0.8778
CIF000120,25,admin.,single,secondary,no,-2000.0,yes,yes,cellular,6,jul,837,2,-1,4,other,0.6239,1,0.7778
CIF000121,45,student,married,secondary,no,-2000.0,yes,no,cellular,11,feb,1623,2,-1,0,unknown,0.9736,1,0.8615
CIF000122,59,retired,single,tertiary,no,3459.73,no,no,telephone,2,feb,85,3,-1,1,success,0.8714,1,0.0169
CIF000123,58,blue-collar,single,primary,no,669.9,no,yes,telephone,5,feb,477,2,-1,3,success,0.2147,1,0.4774
CIF000124,47,admin.,single,primary,no,-288.27,no,yes,telephone,26,dec,150,5,-1,2,failure,0.2412,0,0.2594
CIF000125,71,retired,single,tertiary,no,1525.52,yes,no,cellular,26,apr,578,2,-1,1,failure,0.3448,1,0.274
CIF000126,53,retired,married,primary,no,3884.8,no,no,telephone,9,jun,702,5,29,2,other,0.3915,1,0.2698
CIF000127,22,management,married,tertiary,no,2041.09,yes,no,unknown,29,apr,1114,3,24,0,unknown,0.553,1,0.3893
CIF000128,65,admin.,divorced,unknown,no,-468.16,no,no,cellular,4,nov,463,5,-1,1,other,0.2325,0,0.4107
CIF000129,53,student,single,primary,no,5178.88,no,no,unknown,1,nov,285,4,-1,4,success,0.2223,1,0.634
CIF000130,57,entrepreneur,single,secondary,no,6237.56,yes,no,cellular,11,aug,305,7,-1,0,unknown,0.3814,1,0.3004
CIF000131,53,retired,divorced,unknown,no,2983.67,yes,no,cellular,8,oct,1689,4,4,5,failure,0.672,1,0.2728
CIF000132,52,student,married,primary,no,4420.99,yes,no,cellular,3,feb,1715,3,-1,2,other,0.6881,1,0.3606
CIF000133,23,management,divorced,unknown,no,5225.88,yes,no,cellular,26,dec,398,5,5,4,success,0.9761,1,0.6865
CIF000134,52,admin.,single,primary,no,4890.3,no,no,telephone,30,jun,351,5,-1,1,unknown,0.2024,1,0.0002
CIF000135,67,student,divorced,unknown,no,3342.3,no,no,telephone,9,may,97,4,-1,4,unknown,0.3929,0,0.7469
CIF000136,36,retired,single,secondary,no,3295.04,no,no,telephone,10,mar,1726,4,2,3,other,0.9647,1,0.339
CIF000137,55,student,single,primary,no,3058.98,no,no,cellular,22,nov,1271,4,-1,5,unknown,0.69,1,0.5762
CIF000138,19,management,single,tertiary,no,-1792.01,no,no,telephone,28,mar,1369,3,14,0,success,0.5923,0,0.7615
CIF000139,39,student,married,primary,no,3602.17,no,no,unknown,9,nov,523,3,-1,4,other,0.5396,1,0.5108
CIF000140,45,student,single,secondary,no,-2000.0,yes,no,cellular,21,sep,1153,7,-1,1,unknown,0.0755,1,0.6472
CIF000141,78,blue-collar,divorced,tertiary,no,-883.8,no,no,unknown,1,oct,107,5,-1,2,unknown,0.8934,0,0.9199
CIF000142,31,blue-collar,single,tertiary,no,5410.7,no,no,cellular,17,jan,1216,1,-1,0,other,0.6255,1,0.0299
CIF000143,35,admin.,married,secondary,no,4020.66,yes,no,telephone,30,sep,1043,7,-1,5,other,0.5717,1,0.3495
CIF000144,43,retired,divorced,unknown,no,5962.19,no,yes,telephone,15,dec,596,5,-1,3,success,0.5395,1,0.9269
CIF000145,79,blue-collar,married,secondary,no,684.98,no,no,unknown,20,may,1278,1,-1,5,unknown,0.3919,0,0.8374
CIF000146,70,entrepreneur,married,secondary,no,-1956.75,yes,no,telephone,21,jun,1163,6,-1,3,unknown,0.2547,1,0.6168
CIF000147,20,retired,married,secondary,no,778.69,yes,no,telephone,19,feb,790,5,-1,0,other,0.7553,0,0.2293
CIF000148,32,entrepreneur,married,unknown,no,1806.09,yes,no,unknown,21,jun,336,7,-1,2,other,0.5096,1,0.3305
CIF000149,68,admin.,married,tertiary,no,1736.97,yes,no,cellular,27,sep,42,4,-1,2,other,0.0339,0,0.858
CIF000150,21,entrepreneur,married,primary,no,4901.04,yes,no,cellular,1,apr,1687,4,-1,0,other,0.3991,0,0.6983
CIF000151,71,admin.,divorced,unknown,no,416.19,yes,no,telephone,27,sep,506,3,17,5,failure,0.9286,1,0.2857
CIF000152,35,entrepreneur,single,secondary,no,2556.1,yes,no,cellular,28,feb,543,3,-1,5,failure,0.3739,1,0.1322
CIF000153,74,retired,married,secondary,no,-1465.88,no,yes,cellular,28,sep,1225,5,-1,3,failure,0.4132,0,0.7808
CIF000154,36,management,single,primary,no,2850.95,yes,no,telephone,12,aug,459,6,19,3,success,0.624,1,0.5762
CIF000155,44,retired,divorced,unknown,no,1509.33,yes,no,cellular,18,mar,676,7,-1,4,unknown,0.8017,1,0.9634
CIF000156,59,admin.,divorced,primary,no,-749.44,yes,no,telephone,11,may,1280,6,-1,4,unknown,0.6685,1,0.4065
CIF000157,25,retired,married,unknown,no,792.51,no,no,telephone,26,mar,1071,5,-1,0,other,0.8501,0,0.349
CIF000158,52,entrepreneur,married,primary,no,947.47,yes,no,telephone,13,aug,1181,4,-1,3,failure,0.114,1,0.2908
CIF000159,49,blue-collar,divorced,tertiary,no,689.53,no,no,telephone,10,aug,8,3,-1,4,unknown,0.9246,0,0.4819
CIF000160,66,management,single,primary,no,6814.02,no,no,cellular,21,jul,812,6,18,4,success,0.9039,1,0.3227
CIF000161,79,admin.,divorced,secondary,no,1204.66,yes,yes,telephone,2,mar,855,3,27,3,failure,0.5191,1,0.0732
CIF000162,59,entrepreneur,married,unknown,no,768.31,no,no,cellular,12,mar,1138,2,-1,5,unknown,0.6247,1,0.3121
CIF000163,43,entrepreneur,married,tertiary,no,-2000.0,no,no,telephone,7,oct,272,7,-1,3,failure,0.2128,1,0.2189
CIF000164,43,admin.,single,tertiary,no,-1182.62,no,no,unknown,12,jun,287,5,6,2,failure,0.4479,1,0.8154
CIF000165,43,student,married,primary,no,710.78,no,yes,unknown,14,jun,1372,3,-1,2,success,0.2027,0,0.2356
CIF000166,68,entrepreneur,divorced,unknown,no,-557.56,yes,yes,cellular,2,apr,1211,7,-1,4,other,0.022,1,0.4589
CIF000167,37,admin.,divorced,secondary,no,5645.12,yes,no,cellular,26,dec,1460,7,-1,5,other,0.9809,1,0.6727
CIF000168,28,entrepreneur,married,tertiary,no,1005.19,yes,no,unknown,13,mar,487,3,-1,1,other,0.2591,0,0.1492
CIF000169,38,student,single,unknown,no,5365.33,no,no,unknown,11,oct,1795,4,-1,1,failure,0.5931,1,0.5313
CIF000170,19,retired,single,tertiary,no,1685.11,yes,no,cellular,5,oct,491,4,-1,3,success,0.3003,0,0.8472
CIF000171,24,management,single,tertiary,no,1611.68,yes,yes,unknown,30,mar,1171,5,-1,4,unknown,0.3706,0,0.5841
CIF000172,23,student,single,primary,no,1233.61,no,yes,cellular,26,jan,291,7,-1,2,success,0.3978,0,0.4824
CIF000173,65,admin.,single,secondary,yes,1511.39,yes,no,telephone,15,mar,1653,4,23,3,success,0.335,1,0.8389
CIF000174,62,management,divorced,tertiary,no,6656.39,yes,yes,cellular,11,apr,598,6,-1,0,other,0.6374,1,0.9473
CIF000175,61,blue-collar,married,primary,no,-2000.0,no,no,cellular,15,sep,1444,5,-1,1,unknown,0.9609,1,0.821
CIF000176,46,retired,married,secondary,no,-2000.0,no,no,unknown,29,jul,596,7,-1,5,other,0.4286,0,0.4084
CIF000177,62,student,divorced,unknown,no,-129.51,yes,no,telephone,7,jun,1423,3,-1,3,success,0.9733,1,0.6117
CIF000178,27,admin.,divorced,unknown,no,1543.58,no,no,cellular,21,jun,817,3,26,5,unknown,0.6678,1,0.5266
CIF000179,73,admin.,single,unknown,no,3570.31,no,yes,unknown,28,dec,112,3,21,1,other,0.6071,1,0.3033
CIF000180,49,student,divorced,unknown,no,2919.26,yes,no,cellular,23,dec,342,7,-1,1,failure,0.2371,1,0.4353
CIF000181,76,entrepreneur,married,unknown,no,347.26,yes,no,cellular,27,jan,1230,5,-1,5,failure,0.0629,0,0.8293
CIF000182,27,blue-collar,divorced,primary,no,4557.13,yes,no,unknown,29,nov,347,2,-1,5,unknown,0.8519,1,0.3005
CIF000183,48,admin.,divorced,unknown,no,4590.59,yes,no,telephone,2,may,495,1,-1,5,unknown,0.574,1,0.8896
CIF000184,61,entrepreneur,married,tertiary,no,2052.17,yes,no,cellular,8,oct,975,4,-1,1,unknown,0.4144,1,0.9914
CIF000185,48,admin.,married,unknown,no,4387.97,no,no,unknown,5,dec,455,6,-1,4,failure,0.812,1,0.3068
CIF000186,45,blue-collar,single,tertiary,no,2317.94,no,no,cellular,18,jul,231,4,-1,2,failure,0.3106,1,0.1227
CIF000187,28,blue-collar,divorced,primary,no,-184.45,yes,no,telephone,13,aug,1123,4,-1,5,failure,0.7836,1,0.9572
CIF000188,41,admin.,married,tertiary,no,3593.45,no,no,cellular,2,jun,1240,6,-1,5,success,0.328,1,0.1711
CIF000189,32,student,single,unknown,yes,1831.84,yes,no,telephone,17,jan,1319,4,-1,2,other,0.9209,1,0.7715
CIF000190,36,retired,divorced,primary,no,1504.02,no,no,unknown,4,jan,1699,7,-1,1,other,0.268,1,0.0391
CIF000191,60,student,married,tertiary,yes,5918.86,no,no,unknown,13,may,224,5,-1,5,failure,0.1376,1,0.2356
CIF000192,57,blue-collar,single,tertiary,no,-2000.0,no,no,telephone,11,oct,768,6,-1,2,other,0.6981,1,0.2602
CIF000193,55,blue-collar,married,secondary,no,-2000.0,yes,no,telephone,27,may,421,6,-1,2,success,0.1628,1,0.2972
CIF000194,40,blue-collar,married,unknown,no,-2000.0,yes,yes,unknown,21,jun,1621,5,-1,3,failure,0.9494,1,0.9193
CIF000195,77,management,single,primary,no,410.22,yes,no,unknown,19,jul,971,1,-1,5,unknown,0.6556,1,0.1753
CIF000196,23,blue-collar,married,secondary,no,736.18,no,no,unknown,25,apr,176,3,10,0,failure,0.2309,0,0.1736
CIF000197,39,blue-collar,married,unknown,no,-2000.0,yes,yes,telephone,6,jun,1245,1,21,5,unknown,0.2088,1,0.6917
CIF000198,25,student,divorced,tertiary,no,-1455.47,no,no,telephone,8,aug,77,4,-1,2,unknown,0.9239,0,0.9523
CIF000199,39,entrepreneur,married,primary,no,-1082.53,yes,no,unknown,23,nov,493,2,-1,0,other,0.6079,1,0.3893
CIF000200,77,retired,divorced,primary,no,8872.27,no,no,cellular,23,oct,1298,4,2,1,unknown,0.8937,1,0.7731
CIF000201,40,blue-collar,married,tertiary,no,6905.23,yes,no,unknown,1,oct,910,3,-1,2,success,0.1102,1,0.031
CIF000202,74,student,single,unknown,no,264.75,yes,no,unknown,7,jul,1369,1,-1,4,unknown,0.9254,1,0.8241
CIF000203,48,retired,divorced,primary,no,409.25,no,no,telephone,7,sep,1028,1,-1,3,success,0.52,0,0.7234
CIF000204,61,student,single,primary,no,-1947.61,yes,no,unknown,1,feb,1517,4,-1,0,other,0.6684,1,0.8966
CIF000205,46,management,single,secondary,no,-2000.0,yes,no,telephone,20,feb,1012,1,-1,2,failure,0.3729,0,0.6375
CIF000206,34,student,divorced,primary,no,1149.36,no,no,unknown,2,dec,102,6,-1,1,unknown,0.0591,1,0.9413
CIF000207,65,entrepreneur,married,primary,no,-1493.56,no,no,telephone,26,aug,128,6,-1,1,unknown,0.958,1,0.3899
CIF000208,78,entrepreneur,divorced,secondary,no,1245.45,no,no,cellular,18,feb,1398,5,-1,4,other,0.9946,1,0.7325
CIF000209,34,admin.,divorced,tertiary,no,-2000.0,no,no,unknown,23,may,69,2,-1,4,unknown,0.3645,0,0.7256
CIF000210,66,blue-collar,divorced,unknown,no,-785.92,yes,no,unknown,15,dec,677,6,-1,0,failure,0.9439,1,0.2686
CIF000211,34,retired,single,secondary,no,1945.88,yes,no,cellular,30,jan,28,5,-1,3,other,0.1677,1,0.9206
CIF000212,62,blue-collar,single,tertiary,no,2598.63,yes,no,unknown,9,jun,546,3,-1,2,success,0.1547,1,0.7792
CIF000213,66,admin.,single,unknown,no,2752.42,no,no,telephone,17,nov,1071,1,-1,2,other,0.0731,1,0.8664
CIF000214,45,blue-collar,single,primary,no,-2000.0,no,no,unknown,1,dec,311,4,-1,4,other,0.3913,1,0.3626
CIF000215,63,entrepreneur,divorced,unknown,no,4064.06,yes,no,cellular,25,may,838,6,12,1,success,0.0523,1,0.8413
CIF000216,34,retired,divorced,primary,no,-900.64,no,no,cellular,18,nov,1792,1,-1,4,other,0.3947,0,0.315
CIF000217,22,admin.,married,tertiary,no,3398.57,yes,yes,cellular,6,sep,126,1,-1,2,unknown,0.1384,0,0.9644
CIF000218,23,admin.,married,unknown,no,1468.08,yes,yes,unknown,25,may,114,3,-1,0,unknown,0.7305,0,0.0239
CIF000219,45,retired,divorced,unknown,no,-2000.0,yes,no,unknown,30,oct,488,4,11,4,failure,0.8334,1,0.6192
